,LOC,ADDR,CCTV_YN,CCTV_CNT,ROAD_BT,LATITUDE,LONGITUDE
62,금교초등학교(병설),경기도 남양주시 다산동 4002-17번지,Y,3,6,37.6142369,127.1615958
63,와부초등학교(병설),경기도 남양주시 와부읍 덕소리 75-5번지,Y,3,7,37.5864404,127.2189217
64,송라초등학교(병설),경기도 남양주시 화도읍 마석우리 590번지,Y,4,7,37.6545788,127.3016235
65,도심초등학교(병설),경기도 남양주시 와부읍 도곡리 1051-7번지,Y,8,6,37.5802583,127.2279375
66,장내초등학교(병설),경기도 남양주시 평내동 563번지,Y,4,15,37.6412404,127.2348625
67,평동초등학교(병설),경기도 남양주시 호평동 659번지,Y,4,15,37.6547989,127.2475208
68,사동몬테소리 어린이집,경기도 이천시 대월면 사동리 330-2번지,Y,1,5,37.243749,127.4919130076
69,증포아이사랑어린이집,경기도 이천시 증포동 311-2번지,Y,1,6,37.2984467051,127.4498887111
70,가람어린이집,경기도 이천시 부발읍 신하리 431번지,Y,1,6,37.2622969228,127.4730993560
71,리틀킹어린이집,경기도 이천시 송정동 106-38번지,Y,1,6,37.2938145,127.440541
72,지예슬유치원,경기도 이천시 증포동 180-5번지,Y,1,6,37.2909543130,127.4535160496
73,하늘땅별땅유치원,경기도 이천시 호법면 유산리 550-16번지,Y,1,9,37.2408754517,127.4399757847
74,이천유치원,경기도 이천시 송정동 107-82번지,Y,1,6,37.2966485448,127.4411936672
75,대월초교,경기도 이천시 대월면 초지리 426-1번지,Y,2,6,37.2237350916,127.4928018050
76,다원학교,경기도 이천시 부발읍 무촌리 128-8,N,0,6,37.278302,127.486504
77,신하초교,경기도 이천시 부발읍 신하리 374-2번지,Y,2,6,37.2609697,127.478696
78,표교초교,경기도 이천시 마장면 목리 228번지,Y,2,6,37.2567401,127.4058991
79,설성초교,경기도 이천시 설성면 행죽리 78-1번지,Y,1,6,37.110111,127.537445
80,장천초교,경기도 이천시 설성면 장천리 360-1번지,Y,1,6,37.1457533820,127.5283277219
81,나래초교,경기도 이천시 장호원읍 나래리 293-1번지,Y,1,5,37.1699317807,127.5877116630
82,가산초교,경기도 이천시 부발읍 가산리 305-1번지,Y,1,9,37.2416021,127.5178521
83,송정초교,경기도 이천시 송정동 375-23번지,Y,1,6,37.2941617063,127.4333217
84,아미초교,경기도 이천시 부발읍 아미리 761-6번지,Y,1,6,37.2582600427,127.4908668018
85,작은별어린이집,경기도 이천시 창전동 440-1번지,Y,1,6,37.2859376,127.4477754
86,판곡초등학교(병설),경기도 남양주시 호평동 713번지,Y,6,15,37.6600237,127.2416875
87,백봉초등학교(병설),경기도 남양주시 평내동 607번지,Y,3,15,37.6438487,127.2419999
88,양오초등학교(병설),경기도 남양주시 오남읍 양지리 616-5번지,Y,3,6,37.6976332,127.1925321
89,어람초등학교(병설),경기도 남양주시 오남읍 오남리 358-5번지,Y,3,6,37.6825299,127.2132932
90,가운초등학교(병설),경기도 남양주시 다산동 677번지,Y,3,7,37.6007821,127.1556886
91,차산초등학교(병설),경기도 남양주시 화도읍 차산리 79-9번지,Y,4,7,37.6363311,127.3016032
92,진접초등학교(병설),경기도 남양주시 진접읍 금곡리 1109번지,Y,3,14,37.7169544,127.1998007
93,화봉초등학교(병설),경기도 남양주시 진접읍 금곡리 1078번지,Y,3,14,37.7156748,127.1916884
